X,Y,OBJECTID,TLIGHTS_,TLIGHTS_ID,SITE_NO,SITE_NAME,SITE_TYPE,DIRECTORY,DIR_REF,D_ADDED,D_TOWNS,D_EDITED,D_REMOVED,LINK_MODE,STATUS,COMMENTS,MULTI,UFI,ARC_UFI
145.062721000075868,-37.846682999461521,35722,0,0,4044,TOORAK NR BOWEN,POS,M,059K05,0,0,0,0,,OPERATIONAL,PUFFIN,,0,0
145.017047000362282,-37.913413998972565,35723,0,0,3962,HAWTHORN NR CLIVE,POS,M,067K11,0,0,0,0,,OPERATIONAL,TRAM PRI,,0,0
145.239000999964048,-37.809893999442352,35724,0,0,888,WHITEHORSE/OLIVER,INT,M,049K07,0,0,0,0,,OPERATIONAL,FIRE LNK,,0,0
144.917233999709083,-37.754517999279372,35725,0,0,3607,MT ALEXANDER NR WINIFRED,FLASH PX,M,028F01,0,0,0,0,,OPERATIONAL,,,0,0
145.41557999997022,-36.376734999439165,35726,0,0,6084,ANDREW FAIRLEY/SPC CROSSING,INT,V,673 R08,0,0,0,0,,OPERATIONAL,RAIL LNK,,0,0
145.224853000331422,-37.962744999438435,35727,0,0,267,MONASH/STUD (SOUTH),INT,M,081G12,0,0,0,0,,OPERATIONAL,,,0,0
145.195486000431373,-37.923127999495122,35728,0,0,268,WELLINGTON/JACKSONS,INT,M,080K02,0,0,0,0,,OPERATIONAL,Bluetooth,,0,0
145.196287999462527,-37.991372999041459,35729,0,0,269,CHELTENHAM/DINGLEY/SINCLAIR,INT,M,089K08,0,0,0,0,,OPERATIONAL,,,0,0
145.140420000424655,-38.119031999298535,35730,0,0,273,KLAUER/HARTNETT,INT,M,099H07,0,0,0,0,,OPERATIONAL,,,0,0
145.123273999474918,-38.138685999097959,35731,0,0,274,NEPEAN/FLETCHER,INT,M,102D01,0,0,0,0,,OPERATIONAL,Bluetooth,,0,0
145.133009999657418,-38.129096999361558,35732,0,0,275,FRANKSTON-DANDENONG/FRANKSTON FWY RAMPS,INT,M,099F10,0,0,0,0,,OPERATIONAL,"ASB WARN,Bluetooth,SRLC",,0,0
145.162330999852117,-38.154167999516361,35733,0,0,276,CRANBOURNE/KARINGAL,INT,M,103B05,0,0,0,0,,OPERATIONAL,ASB WARN,,0,0
145.121512000109931,-38.142027999144084,35734,0,0,277,NEPEAN NR WELLS,POS,M,102C02,0,0,0,0,,OPERATIONAL,,,0,0
145.10167000030998,-38.166684998739356,35735,0,0,278,NEPEAN/HUMPHRIES,INT,M,101J08,0,0,0,0,,OPERATIONAL,ASB WARN,,0,0
144.953975000059984,-37.754244998784635,35736,0,0,3891,MORELAND NR HAIG,POS,M,029F04,0,0,0,0,,OPERATIONAL,,,0,0
144.963130999666419,-37.733783999050424,35737,0,0,3892,GAFFNEY NR BATMAN,POS,M,017H10,0,0,0,0,,OPERATIONAL,RAIL LNK,,0,0
144.966125000089619,-37.743999998839953,35738,0,0,3893,SYDNEY NR PAGE,POS,M,029H01,0,0,0,0,,OPERATIONAL,"PUFFIN,TRAM PRI",,0,0
144.847478000086141,-37.835825999172499,35739,0,0,3900,MILLERS/MCARTHURS,INT,M,055B02,0,0,0,0,,OPERATIONAL,,,0,0
144.855139000213683,-37.831941999001558,35740,0,0,3902,BLACKSHAWS NR BEGONIA,FLASH PX,M,055C01,0,0,0,0,,OPERATIONAL,,,0,0
144.829083999586061,-37.827368998782909,35741,0,0,3905,BLACKSHAWS/GRIEVE,INT,M,040G12,0,0,0,0,,OPERATIONAL,Bluetooth,,0,0
144.977257000207317,-37.847487998982352,35742,0,0,2440,QUEENS O'HEAD LANE CONTROL,OH LANE,M,058A05,0,0,0,0,,OPERATIONAL,,,0,0
145.134655000440773,-38.157539998683362,35743,0,0,743,MOOROODUC HWY/HEATHERHILL,INT,M,102F06,0,0,0,0,,OPERATIONAL,,,0,0
